Variable_name	Value
SQL_AUTO_IS_NULL	false
activate_all_roles_on_login	false
allow_hive_without_partition_filter	true
analyze_mv	
ann_params	
array_low_cardinality_optimize	true
audit_execute_stmt	false
auto_increment_increment	1
autocommit	true
back_pressure_back_rounds	3
back_pressure_throttle_time_upper_bound	300
big_query_log_cpu_second_threshold	480
big_query_log_scan_bytes_threshold	10737418240
big_query_log_scan_rows_threshold	1000000000
big_query_profile_threshold	30s
broadcast_row_limit	15000000
catalog	default_catalog
cbo_cte_force_reuse_node_count	2000
cbo_cte_reuse	true
cbo_derive_join_is_null_predicate	true
cbo_derive_range_join_predicate	false
cbo_enable_intersect_add_distinct	true
cbo_enable_low_cardinality_optimize	true
cbo_eq_base_type	decimal
cbo_json_v2_dict_opt	true
cbo_json_v2_rewrite	true
cbo_max_reorder_node_use_dp	10
cbo_max_reorder_node_use_exhaustive	4
cbo_max_reorder_node_use_greedy	16
cbo_prepare_metadata_thread_pool_size	16
cbo_prune_json_subfield	true
cbo_push_down_aggregate_with_multi_column_stats	true
cbo_push_down_distinct_below_window	true
cbo_push_down_distinct_limit	4096
cbo_push_down_topn_limit	1000
cbo_reorder_threshold_use_exhaustive	6
cbo_use_correlated_predicate_estimate	true
character_set_client	utf8
character_set_connection	utf8
character_set_database	utf8
character_set_results	utf8
character_set_server	utf8
choose_execute_instances_mode	LOCALITY
cngroup_schedule_mode	standard
collation_connection	utf8_general_ci
collation_database	utf8_general_ci
collation_server	utf8_general_ci
column_view_concat_bytes_limit	4294967296
column_view_concat_rows_limit	-1
computation_fragment_scheduling_policy	COMPUTE_NODES_ONLY
connector_huge_file_size	536870912
connector_incremental_scan_ranges_size	500
connector_io_tasks_per_scan_operator	16
connector_max_split_size	67108864
connector_scan_use_query_mem_ratio	0.3
connector_sink_compression_codec	uncompressed
connector_sink_target_max_file_size	1073741824
count_distinct_column_buckets	1024
count_distinct_implementation	default
custom_query_id	
datacache_sharing_work_period	600
default_rowset_type	alpha
default_storage_engine	InnoDB
default_table_compression	lz4_frame
default_tmp_storage_engine	InnoDB
disable_colocate_join	false
disable_colocate_set	false
disable_join_reorder	false
disable_spill_to_local_disk	false
div_precision_increment	4
dynamic_overwrite	false
enable_adaptive_sink_dop	true
enable_array_distinct_after_agg_opt	true
enable_big_query_log	true
enable_bucket_aware_execution_on_lake	true
enable_cbo_based_mv_rewrite	true
enable_cbo_table_prune	false
enable_cbo_view_based_mv_rewrite	false
enable_collect_table_level_scan_stats	true
enable_color_explain_output	true
enable_connector_adaptive_io_tasks	true
enable_connector_async_list_partitions	false
enable_connector_deploy_scan_ranges_background	true
enable_connector_incremental_scan_ranges	true
enable_connector_sink_writer_scaling	true
enable_connector_split_io_tasks	true
enable_constant_execute_in_fe	true
enable_count_distinct_rewrite_by_hll_bitmap	true
enable_cross_join	true
enable_datacache_async_populate_mode	true
enable_datacache_io_adaptor	true
enable_datacache_sharing	true
enable_defer_project_after_topn	true
enable_delta_lake_column_statistics	false
enable_dialect_downgrade	true
enable_distinct_column_bucketization	false
enable_drop_table_check_mv_dependency	false
enable_dynamic_prune_scan_range	true
enable_eliminate_agg	true
enable_evaluate_schema_scan_rule	true
enable_file_metacache	true
enable_file_pagecache	true
enable_filter_unused_columns_in_scan_stage	true
enable_fine_grained_range_predicate	false
enable_force_rule_based_mv_rewrite	true
enable_gin_filter	true
enable_global_runtime_filter	true
enable_group_by_compressed_key	true
enable_group_execution	true
enable_group_level_query_queue	false
enable_groupby_use_output_alias	false
enable_hash_join_linear_chained_opt	true
enable_hash_join_range_direct_mapping_opt	true
enable_hive_column_stats	true
enable_hive_metadata_cache_with_insert	false
enable_hyperscan_vec	true
enable_iceberg_column_statistics	false
enable_iceberg_identity_column_optimize	true
enable_incremental_mv	false
enable_inner_join_to_semi	true
enable_insert_strict	true
enable_join_reorder_before_deduplicate	false
enable_lake_tablet_internal_parallel	true
enable_lambda_pushdown	true
enable_load_profile	false
enable_local_shuffle_agg	true
enable_materialized_view_agg_pushdown_rewrite	true
enable_materialized_view_concurrent_prepare	true
enable_materialized_view_for_insert	false
enable_materialized_view_multi_stages_rewrite	true
enable_materialized_view_rewrite	true
enable_materialized_view_rewrite_greedy_mode	false
enable_materialized_view_text_match_rewrite	true
enable_materialized_view_timeseries_agg_pushdown_rewrite	true
enable_materialized_view_transparent_union_rewrite	true
enable_materialized_view_union_rewrite	true
enable_materialized_view_view_delta_rewrite	true
enable_metadata_profile	false
